"sigma_obs","beta_intercept"
0.318136674558181,-0.154573051022593
0.321461215962555,-0.18297878095881
0.301391966476153,-0.151227690517726
0.297416872235738,-0.137361437335135
0.317581589845232,-0.0903432317782644
0.314287731914731,-0.111938181254867
0.328366796326287,-0.0865719902242862
0.296132212582178,-0.0788439168491771
0.310835998377233,-0.135440609421179
0.329585887991942,-0.118960731531696
0.336590930911205,-0.101480884484848
0.301145199475886,-0.106373490764233
0.352757997982241,-0.0676517217038266
0.312933932529788,-0.147714870495697
0.327635605941651,-0.121326373373038
0.304897689951183,-0.0981978755688186
0.332680899715053,-0.10412150674856
0.308409371873517,-0.131557282774315
0.345161652259601,-0.105271087239799
0.333076877808951,-0.128395566015205
0.308603530214821,-0.0873854531443449
0.289192387920113,-0.0732940219803879
0.314179990174851,-0.11706758692262
0.333202324333113,-0.136818600153572
0.291840352411643,-0.0755017314001522
0.311695088104889,-0.104152214522163
0.327880953558382,-0.144733328993186
0.328845538801012,-0.113959688102024
0.296939586280582,-0.137959850526573
0.319145317372426,-0.0979301203437834
0.330890086531267,-0.122364892053714
0.304443163904076,-0.0872512682215941
0.299554752600172,-0.112529625847539
0.296855169915802,-0.122246750629409
0.302070401957616,-0.118185366671161
0.336927129152412,-0.0971180335482613
0.29366657078418,-0.115990539154885
0.319718246352116,-0.107981690393473
0.307542753202829,-0.142864312245784
0.309404442896808,-0.122735794245982
0.369160653899289,-0.0761935148151003
0.33109581539474,-0.159231671386134
0.35053184992107,-0.129611906339503
0.30206761572867,-0.126330851905063
0.280214016802637,-0.0964159095821649
0.273097375016341,-0.127513875838946
0.296830284126854,-0.0707030040523387
0.296007826333294,-0.0923802905479456
0.328313653274416,-0.115718726140965
0.310839910545327,-0.111985113116018
0.303028578861478,-0.0749676582315255
0.309194796428118,-0.112155060902463
0.316800850850832,-0.102327027439656
0.292193509975393,-0.113780441824608
0.328158370389332,-0.0761706353318063
0.299074336697799,-0.129700166195698
0.306116016481602,-0.124415290463065
0.300322569091905,-0.110236283757393
0.343999055264296,-0.0835087666006532
0.317277143460928,-0.0988533002370828
0.320973802116149,-0.0949282888533607
0.310930863643826,-0.141570152786944
0.326720673305129,-0.116758570233623
0.340277442708464,-0.119584340160071
0.305269311537166,-0.111761518405544
0.320985497410357,-0.121907433993842
0.301004311969612,-0.134081833747265
0.309751171874672,-0.080669058691738
0.317505962816355,-0.106715800053908
0.349715590453516,-0.117120292010958
0.33320737284011,-0.122407005489468
0.293415408830267,-0.128241753424268
0.304707661752436,-0.113336142636835
0.353894460865027,-0.102016733485095
0.295257494409386,-0.122862725195236
0.314189761560505,-0.103815247205009
0.32713683385754,-0.130612506697178
0.295963908326871,-0.0744659326188759
0.285932226731242,-0.11938742626858
0.298505035216863,-0.071468739019589
0.321552448651852,-0.12274896832528
0.333894786437462,-0.132589950408968
0.312318090899355,-0.143662015848246
0.298810741161431,-0.106965335403085
0.311256390832757,-0.106528082164386
0.319166725470277,-0.107393624069444
0.298668992499001,-0.128955210732846
0.309904577164953,-0.130158207326851
0.326021281664986,-0.132104876899899
0.320242774748318,-0.133293867427904
0.317309770003677,-0.124945795026076
0.336621833289017,-0.0982902658989855
0.324844634917317,-0.114500783886239
0.304972600274562,-0.140288809218046
0.309539866700098,-0.118981054167488
0.326323023686068,-0.0522227280547641
0.307333537394024,-0.088570108040787
0.307234855539701,-0.113078504142942
0.329192892918937,-0.145862421291256
0.322855711698132,-0.0857144268591304
0.305047695844419,-0.134566401497752
0.291105630577344,-0.082081844375907
0.326795187388961,-0.0629459695024517
0.30786118010377,-0.0834937175090025
0.315268428780785,-0.142215319832915
0.285090090052916,-0.0705836849872498
0.293062610811608,-0.145455350538701
0.331885139612628,-0.12480703596365
0.333432711725557,-0.148800871637516
0.321291418272083,-0.142506916513771
0.314433047877232,-0.137108362482714
0.31428607288941,-0.094880810987659
0.347238550637991,-0.056328870286814
0.324581080434728,-0.117099845050215
0.30306666442044,-0.0946140499057566
0.333554869493728,-0.12366032452821
0.310382031310318,-0.0754697612811492
0.335602354068395,-0.113457592653387
0.30476829809487,-0.152267453324055
0.316970705704942,-0.156707341930131
0.312324421230677,-0.128940405522888
0.341282336569195,-0.086919339681098
0.307581662872262,-0.0936960327584464
0.309143858291411,-0.0941733278586562
0.304600615180679,-0.161563579712494
0.344106093008975,-0.113209184794795
0.326179209317727,-0.0803344839668009
0.312483681695697,-0.116099757049521
0.321989951521681,-0.114792205424399
0.302260986125885,-0.0706155042863715
0.345594441122623,-0.124113934974954
0.309294835139989,-0.115835610797813
0.312864207608623,-0.0883252909656049
0.309803952959616,-0.135175543075013
0.320465880361353,-0.136154690424453
0.320741988372268,-0.0921889258542469
0.327550510794828,-0.112100912950827
0.329071174952102,-0.121748632893143
0.311885952568792,-0.0851845451234863
0.338272894279465,-0.15318709749958
0.331769693021506,-0.111890339424916
0.303697808137858,-0.128578627829959
0.331926943460163,-0.139124389473253
0.321491910747695,-0.0988226537213552
0.329348147573726,-0.130138104800121
0.306328714541302,-0.095352044650992
0.304827256233093,-0.078180907046507
0.324513770112204,-0.110139237645646
0.32367913054465,-0.104469703635152
0.299900687571947,-0.100543598910839
0.313393610627882,-0.106875669090122
0.305223420642066,-0.145135183072988
0.332283183305989,-0.110156505643852
0.321997373268023,-0.0935133668034343
0.307908506903493,-0.0894274922952022
0.315956083607264,-0.105335735071032
0.308526636568394,-0.0957405000041418
0.321651693971796,-0.111191347705096
0.34906084367483,-0.125962690735635
0.325809875157266,-0.114481029967802
0.315462993663578,-0.168850744050002
0.331911371511439,-0.0881788781153031
0.310691280133526,-0.0915364303880266
0.320777494341751,-0.113774272279137
0.338837186999015,-0.138670579268059
0.313445648842712,-0.073525931226677
0.314357599734901,-0.106562582289669
